date,user_id,monthly_income,monthly_expense_total,savings_rate,budget_goal,financial_scenario,credit_score,debt_to_income_ratio,loan_payment,investment_amount,subscription_services,emergency_fund,transaction_count,fraud_flag,discretionary_spending,essential_spending,income_type,rent_or_mortgage,category,cash_flow_status,financial_advice_score,financial_stress_level,actual_savings,savings_goal_met,monthly_income_outlier_flag,monthly_expense_total_outlier_flag,savings_rate_outlier_flag,net_savings,year,month,discretionary_ratio,essential_ratio,expense_income_ratio
2020-02-25,1901,2733.95,2653.62,0.18,3020.08,inflation,677.0,0.58,365.7,725.23,6,657.65,89,0,495.89,1856.22,Freelance,906.49,Groceries,Positive,86.1,Low,80.33,0,0,0,0,80.32999999999993,2020,2,0.18687302628108018,0.6995048273678974,0.9706176045648238
2023-08-08,1809,1394.59,2700.13,0.11,2217.87,inflation,705.0,0.36,731.79,298.95,6,659.42,97,0,445.05,2832.5,Freelance,1047.74,Utilities,Positive,33.4,Medium,0.0,0,0,0,0,-1305.5400000000002,2023,8,0.16482539729568577,1.04902356553203,1.9361461074581061
2019-01-31,1374,3885.63,2852.55,0.09,2441.69,inflation,737.0,0.49,619.97,286.25,4,1245.93,76,0,738.47,1101.12,Freelance,1591.46,Entertainment,Negative,3.5,Low,1033.08,0,0,0,0,1033.08,2019,1,0.2588806506459133,0.3860125151180522,0.7341280564541658
2022-11-11,1219,5665.27,2858.91,0.1,2586.39,inflation,565.0,0.21,573.33,302.2,7,751.16,88,0,164.85,1000.0,Salary,794.15,Utilities,Negative,39.6,Medium,2806.36,1,0,0,0,2806.3600000000006,2022,11,0.05766183615433854,0.3497836588070279,0.5046379078137493
2022-08-13,1714,3742.93,2513.37,0.26,3179.15,inflation,643.0,0.52,318.37,38.54,5,1347.49,70,1,893.09,1517.47,Freelance,761.16,Entertainment,Positive,84.8,Low,1229.56,0,0,0,0,1229.56,2022,8,0.35533566486430573,0.6037590963527057,0.6714979975580628
2019-06-30,1480,7037.92,3079.11,0.06,2648.33,inflation,619.0,0.5,230.8,750.3,9,645.16,32,0,786.05,3387.77,Salary,1249.84,Insurance,Positive,1.0,High,3958.81,1,1,0,0,3958.81,2019,6,0.25528480632390527,1.1002432521085639,0.43750284174869847
2019-06-30,1517,6721.85,3545.71,0.11,2634.83,inflation,653.0,0.14,701.41,161.24,8,1926.65,57,0,618.06,1000.0,Salary,300.0,Transportation,Positive,26.3,Low,3176.14,1,1,0,0,3176.1400000000003,2019,6,0.17431205597750518,0.28203096135893796,0.5274901998705713
2022-05-15,1849,3239.67,3570.34,0.21,2562.68,inflation,645.0,0.42,255.5,976.25,4,594.96,42,0,528.08,2350.71,Salary,1057.01,Rent,Neutral,58.5,Medium,0.0,0,0,0,0,-330.6700000000001,2022,5,0.14790748220057473,0.6583994801615533,1.102069037895835
2021-07-19,1992,3643.48,2570.2,0.26,3177.48,inflation,748.0,0.57,611.68,222.07,3,1126.53,72,0,225.58,1338.37,Salary,1428.13,Insurance,Positive,32.3,Low,1073.28,0,0,0,0,1073.2800000000002,2021,7,0.08776748891136878,0.5207260135398023,0.7054244842842556
2021-10-17,1520,4404.16,3518.73,0.29,3380.32,inflation,694.0,0.13,432.02,214.42,8,1660.73,99,0,590.0,2905.03,Salary,1055.89,Healthcare,Neutral,25.4,Low,885.43,0,0,0,0,885.4299999999998,2021,10,0.1676741324284614,0.8255904829299208,0.7989559870667733
2022-11-11,1212,5144.22,1162.32,0.4,2116.16,inflation,752.0,0.26,394.54,680.59,2,1278.67,26,0,165.74,1999.85,Salary,1420.82,Investments,Positive,32.1,Low,3981.9,1,0,0,0,3981.9000000000005,2022,11,0.14259412210062636,1.7205674857182187,0.22594679076711335
2023-01-10,1462,3452.89,3373.56,0.34,3376.34,inflation,698.0,0.14,209.68,420.43,4,724.7,50,0,560.5,1408.65,Salary,1602.26,Education,Neutral,85.3,Low,79.33,0,0,0,0,79.32999999999993,2023,1,0.16614496259144643,0.4175559349767012,0.9770250427902424
2019-11-27,1551,4457.09,3930.75,0.13,3484.69,inflation,675.0,0.48,550.97,589.59,2,544.08,83,0,984.78,2305.8,Salary,897.5,Healthcare,Neutral,32.5,High,526.34,0,0,0,0,526.3400000000001,2019,11,0.2505323411562679,0.5866056096164854,0.8819094970036503
2021-05-20,1808,4352.97,3363.07,0.18,2907.32,inflation,752.0,0.59,385.0,254.44,3,1281.11,79,0,755.9,2622.08,Salary,2067.82,Utilities,Neutral,3.0,Low,989.9,0,0,0,0,989.9000000000001,2021,5,0.22476487257178707,0.7796685766279025,0.7725920463499634
2019-01-01,1153,4286.53,3065.76,0.07,2376.08,inflation,766.0,0.42,410.79,544.59,3,1378.15,45,0,0.0,1408.31,Mixed,1681.75,Investments,Positive,47.2,High,1220.77,0,0,0,0,1220.7699999999995,2019,1,0.0,0.4593673346902562,0.7152078721016767
2019-05-01,1707,4231.51,1897.87,0.31,2309.95,inflation,706.0,0.23,563.13,335.76,6,683.11,47,0,541.41,2889.97,Salary,923.25,Dining Out,Positive,78.8,Medium,2333.64,1,0,0,0,2333.6400000000003,2019,5,0.28527243699515775,1.522743918181962,0.4485089247100916
2021-11-16,1763,2574.9,3300.72,0.25,3085.71,inflation,649.0,0.25,695.49,241.65,8,1481.63,83,0,405.45,2482.99,Salary,1682.25,Dining Out,Neutral,25.8,Low,0.0,0,0,0,0,-725.8199999999997,2021,11,0.12283683559950556,0.7522570833030369,1.2818827915647208
2021-04-20,1047,4873.0,3477.82,0.24,3437.07,inflation,653.0,0.17,378.11,563.35,8,776.84,57,0,315.63,2119.93,Salary,1972.01,Investments,Positive,12.5,Medium,1395.18,0,0,0,0,1395.1799999999998,2021,4,0.09075512821250092,0.6095571363670345,0.7136917709829674
2021-12-16,1853,3462.58,3017.41,0.12,3034.22,inflation,699.0,0.42,652.12,303.09,6,591.44,37,0,609.52,2748.45,Mixed,1040.43,Groceries,Positive,89.0,Medium,445.17,0,0,0,0,445.1700000000001,2021,12,0.20200105388396009,0.9108639528602345,0.8714340174089841
2019-12-27,1511,2586.17,2534.03,0.09,2409.44,inflation,613.0,0.56,604.13,979.88,7,185.58,34,0,679.0,2078.09,Salary,1681.8,Healthcare,Positive,50.3,Medium,52.14,0,0,0,0,52.13999999999987,2019,12,0.26795262881654913,0.8200731640904014,0.9798389123684832
2022-09-12,1153,4839.76,2516.88,0.23,3283.88,inflation,657.0,0.22,443.67,614.24,2,604.23,28,0,900.06,1070.96,Salary,1084.68,Insurance,Positive,3.7,Low,2322.88,0,0,0,0,2322.88,2022,9,0.35760942118813766,0.42551095006516004,0.5200423161479082
2019-07-30,1311,3261.08,2935.4,0.05,2587.59,inflation,727.0,0.28,633.75,590.98,1,563.4,58,0,301.42,2158.86,Freelance,1193.31,Utilities,Positive,45.3,Low,325.68,0,0,0,0,325.67999999999984,2019,7,0.10268447230360428,0.7354568372283165,0.9001312448636648
2022-11-11,1516,4185.69,3291.93,0.31,2665.39,inflation,636.0,0.3,791.34,389.57,4,959.75,78,0,372.64,3316.95,Salary,1066.45,Rent,Neutral,4.8,Low,893.76,0,0,0,0,893.7599999999998,2022,11,0.11319803276497374,1.0076004046258578,0.7864724812396523
2021-08-18,1129,3913.95,3876.22,0.15,2955.47,inflation,691.0,0.5,624.62,399.92,6,1176.73,30,0,498.77,1838.49,Freelance,1460.22,Dining Out,Positive,4.1,Medium,37.73,0,0,0,0,37.73000000000002,2021,8,0.1286743270505802,0.47429970435114627,0.9903601221272628
